	type	location	distracted	time
683	Cycles	At Intersection	no	15.95
684	Pedestrian	Mid-Block	no	16.0
685	Pedestrian	At Intersection	no	16.03
686	Parked Car	Mid-Block	no	16.03
687	Right Turn	Mid-Block	no	16.23
688	Left Turn	At Intersection	no	16.25
689	Parked Car	Mid-Block	no	16.63
690	Right Turn	Driveway Junction	no	17.12
691	Angles	At Intersection	no	17.3
692	Left Turn	At Intersection	no	18.2
693	Angles	At Intersection	no	18.28
694	Parked Car	Driveway Junction	no	18.5
695	Parked Car	Mid-Block	no	21.42
696	Angles	At Intersection	no	21.67
697	Angles	At Intersection	no	0.83
698	Angles	At Intersection	no	3.25
699	Left Turn	At Intersection	no	9.02
700	Sideswipe	Mid-Block	no	11.5
701	Left Turn	At Intersection	no	11.67
702	Angles	At Intersection	no	11.83
703	Angles	At Intersection	no	12.53
704	Left Turn	At Intersection	no	13.23
705	Right Turn	Mid-Block	no	13.67
706	Cycles	At Intersection	no	15.03
707	Left Turn	At Intersection	no	15.67
708	Rear Ended	Mid-Block	no	15.75
709	Pedestrian	At Intersection	no	16.17
710	Sideswipe	At Intersection	no	17.72
711	Rear Ended	Mid-Block	yes	18.38
712	Parked Car	Mid-Block	no	20.0
713	Left Turn	At Intersection	yes	20.98
714	Parked Car	Mid-Block	no	21.28
715	Rear Ended	At Intersection	no	21.67
716	Left Turn	At Intersection	no	2.17
717	Parked Car	Mid-Block	no	3.0
718	Parked Car	Mid-Block	yes	4.25
719	Pedestrian	At Intersection	no	10.48
720	Angles	At Intersection	no	11.52
721	Rear Ended	Mid-Block	no	11.63
722	Rear Ended	Mid-Block	no	12.47
723	Cycles	At Intersection	no	14.22
724	Parked Car	Driveway Junction	no	14.37
725	Parked Car	Mid-Block	no	15.4
726	Angles	At Intersection	no	15.82
727	Angles	At Intersection	no	16.72
728	Angles	At Intersection	no	16.83
729	Parked Car	Driveway Junction	no	17.07
730	Sideswipe	Mid-Block	yes	17.32
731	Angles	At Intersection	no	17.5
732	Angles	Mid-Block	no	20.25
733	Parked Car	Mid-Block	no	21.83
734	Left Turn	At Intersection	no	22.92
735	Parked Car	Mid-Block	no	23.18
736	Left Turn	At Intersection	no	0.45
737	Sideswipe	Mid-Block	no	3.15
738	Angles	At Intersection	no	7.88
739	Rear Ended	Mid-Block	no	8.12
740	Rear Ended	Mid-Block	no	11.42
741	Parked Car	Mid-Block	no	11.82
742	Angles	At Intersection	no	12.75
743	Angles	At Intersection	no	13.45
744	Parked Car	Mid-Block	no	13.83
745	Angles	Driveway Junction	no	14.17
746	Parked Car	Mid-Block	no	14.2
747	Angles	At Intersection	no	14.85
748	Left Turn	At Intersection	no	15.03
749	Angles	At Intersection	no	15.13
750	Parked Car	Mid-Block	no	15.92
751	Parked Car	Mid-Block	no	17.0
752	Sideswipe	Mid-Block	no	17.53
753	Angles	At Intersection	no	17.6
754	Angles	At Intersection	no	18.5
755	Rear Ended	Mid-Block	no	19.23
756	Parked Car	Driveway Junction	no	19.83
757	Sideswipe	Mid-Block	no	20.28
758	Left Turn	At Intersection	no	22.7
759	Parked Car	Mid-Block	no	23.58
760	Angles	At Intersection	no	0.42
761	Parked Car	Mid-Block	no	2.37
762	Rear Ended	Mid-Block	no	8.75
763	Rear Ended	Mid-Block	no	8.75
764	Parked Car	Mid-Block	yes	8.92
765	Rear Ended	Mid-Block	no	10.35
766	Parked Car	At Intersection	no	10.5
767	Parked Car	Mid-Block	no	11.58
768	Angles	At Intersection	no	13.02
769	Sideswipe	Mid-Block	no	13.13
770	Sideswipe	Mid-Block	no	13.17
771	Left Turn	At Intersection	no	13.88
772	Cycles	Driveway Junction	yes	13.98
773	Sideswipe	Mid-Block	no	14.0
774	Angles	At Intersection	no	14.12
775	Rear Ended	Mid-Block	no	14.37
776	Parked Car	Mid-Block	no	14.38
777	Cycles	At Intersection	no	15.5
778	Rear Ended	Mid-Block	no	15.82
779	Angles	At Intersection	no	16.18
780	Angles	At Intersection	no	16.35
781	Parked Car	Mid-Block	no	16.45
782	Parked Car	Mid-Block	no	16.5
783	Left Turn	At Intersection	no	16.58
784	Angles	At Intersection	no	17.67
785	Rear Ended	Driveway Junction	no	18.22
786	Left Turn	At Intersection	no	22.13
787	Left Turn	At Intersection	no	0.47
788	Left Turn	At Intersection	no	0.68
789	Parked Car	Mid-Block	no	1.53
790	Pedestrian	At Intersection	no	7.52
791	Left Turn	At Intersection	no	7.67
792	Parked Car	Driveway Junction	yes	8.0
793	Rear Ended	Mid-Block	yes	8.03
794	Parked Car	Mid-Block	no	9.0
795	Sideswipe	Mid-Block	no	9.2
796	Angles	At Intersection	no	9.42
797	Rear Ended	Mid-Block	yes	9.55
798	Rear Ended	Mid-Block	no	10.8
799	Cycles	At Intersection	no	11.52
800	Parked Car	Mid-Block	no	12.2
801	Left Turn	Mid-Block	no	12.88
802	Parked Car	Mid-Block	no	13.0
803	Rear Ended	Mid-Block	no	13.43
804	Sideswipe	At Intersection	no	13.7
805	Rear Ended	Mid-Block	yes	15.15
806	Pedestrian	At Intersection	no	16.13
807	Cycles	Mid-Block	no	16.5
808	Sideswipe	At Intersection	no	16.92
809	Pedestrian	Mid-Block	no	17.33
810	Rear Ended	Mid-Block	no	17.42
811	Angles	At Intersection	no	18.42
812	Angles	At Intersection	no	19.5
813	Angles	At Intersection	no	19.77
814	Sideswipe	Mid-Block	no	20.88
815	Cycles	At Intersection	no	23.9
816	Angles	At Intersection	no	6.98
817	Rear Ended	Mid-Block	no	7.25
818	Angles	At Intersection	no	8.13
819	Pedestrian	At Intersection	no	8.75
820	Rear Ended	Mid-Block	no	9.28
821	Angles	At Intersection	no	9.65
822	Right Turn	Mid-Block	no	10.45
823	Left Turn	At Intersection	no	11.0
824	Left Turn	At Intersection	no	11.33
825	Sideswipe	Mid-Block	no	11.43
826	Parked Car	Mid-Block	no	11.52
827	Angles	At Intersection	no	11.68
828	Rear Ended	Mid-Block	no	12.63
829	Parked Car	Mid-Block	yes	12.68
830	Parked Car	Mid-Block	no	13.8
831	Parked Car	Mid-Block	no	14.0
832	Angles	At Intersection	no	15.82
833	Sideswipe	Mid-Block	no	15.83
834	Rear Ended	Mid-Block	no	16.07
835	Sideswipe	Mid-Block	no	16.07
836	Sideswipe	Mid-Block	no	16.37
837	Sideswipe	Mid-Block	no	16.67
838	Parked Car	Mid-Block	no	16.87
839	Parked Car	Mid-Block	no	17.0
840	Parked Car	Mid-Block	no	17.33
841	Angles	At Intersection	no	17.42
842	Parked Car	Mid-Block	no	17.83
843	Parked Car	Mid-Block	yes	19.32
844	Angles	At Intersection	no	19.43
845	Angles	At Intersection	no	20.08
846	Rear Ended	Mid-Block	no	20.78
847	Angles	At Intersection	no	21.35
848	Angles	At Intersection	no	22.3
849	Parked Car	Mid-Block	no	22.5
850	Parked Car	Mid-Block	no	22.88
851	Parked Car	Mid-Block	no	0.25
852	Rear Ended	At Intersection	yes	9.43
853	Left Turn	At Intersection	no	9.52
854	Rear Ended	At Intersection	no	9.85
855	Parked Car	Mid-Block	no	12.3
856	Rear Ended	Mid-Block	yes	12.62
857	Parked Car	Mid-Block	no	13.5
858	Parked Car	Mid-Block	no	14.45
859	Angles	At Intersection	no	15.9
860	Parked Car	Mid-Block	no	16.5
861	Rear Ended	Mid-Block	yes	17.48
862	Left Turn	At Intersection	no	17.75
863	Angles	At Intersection	no	17.8
864	Sideswipe	Mid-Block	no	17.93
865	Rear Ended	Mid-Block	no	19.73
866	Angles	At Intersection	no	20.6
867	Angles	Driveway Junction	no	21.38
868	Parked Car	Mid-Block	no	22.0
869	Parked Car	Mid-Block	no	22.0
870	Pedestrian	At Intersection	no	23.0
871	Parked Car	Mid-Block	no	23.92
872	Pedestrian	At Intersection	no	0.03
873	Parked Car	At Intersection	no	0.5
874	Parked Car	Mid-Block	no	0.68
875	Parked Car	Driveway Junction	no	1.5
876	Angles	At Intersection	no	2.08
877	Rear Ended	Mid-Block	yes	2.38
878	Sideswipe	Mid-Block	no	2.5
879	Left Turn	At Intersection	no	2.52
880	Angles	Mid-Block	no	9.03
881	Angles	At Intersection	no	9.1
882	Rear Ended	Mid-Block	no	10.47
883	Sideswipe	Mid-Block	no	11.5
884	Angles	At Intersection	no	12.68
885	Rear Ended	Mid-Block	no	13.07
886	Rear Ended	Mid-Block	no	13.8
887	Angles	At Intersection	no	14.77
888	Left Turn	At Intersection	no	15.02
889	Rear Ended	Mid-Block	no	16.68
890	Angles	At Intersection	no	16.87
891	Rear Ended	Mid-Block	no	19.58
892	Head On	Mid-Block	no	19.65
893	Rear Ended	Mid-Block	no	19.88
894	Parked Car	Mid-Block	no	20.0
895	Parked Car	Mid-Block	no	20.5
896	Rear Ended	Mid-Block	yes	22.43
897	Angles	At Intersection	no	23.82
898	Parked Car	Mid-Block	no	0.02
899	Rear Ended	Mid-Block	yes	0.37
900	Angles	At Intersection	no	1.0
901	Sideswipe	Mid-Block	no	2.38
902	Pedestrian	At Intersection	no	3.5
903	Parked Car	Mid-Block	no	6.05
904	Parked Car	Mid-Block	no	8.05
905	Pedestrian	At Intersection	no	10.45
906	Rear Ended	Mid-Block	no	11.08
907	Angles	At Intersection	no	11.87
908	Sideswipe	At Intersection	no	13.9
909	Left Turn	At Intersection	no	14.87
910	Head On	Mid-Block	no	15.03
911	Parked Car	Mid-Block	no	15.82
912	Sideswipe	Mid-Block	no	16.7
913	Angles	At Intersection	no	17.0
914	Parked Car	Mid-Block	no	19.0
915	Angles	At Intersection	no	20.1
916	Left Turn	At Intersection	no	20.28
917	Parked Car	Mid-Block	no	1.0
918	Rear Ended	Mid-Block	no	6.92
919	Left Turn	At Intersection	no	7.08
920	Angles	At Intersection	no	7.5
921	Angles	At Intersection	no	7.65
922	Rear Ended	Mid-Block	no	7.9
923	Parked Car	Mid-Block	no	8.0
924	Sideswipe	At Intersection	yes	8.17
925	Cycles	At Intersection	no	9.08
926	Rear Ended	Mid-Block	no	9.25
927	Rear Ended	Mid-Block	no	9.83
928	Angles	At Intersection	yes	11.58
929	Sideswipe	Mid-Block	no	12.25
930	Sideswipe	Mid-Block	no	13.92
931	Angles	At Intersection	no	14.83
932	Rear Ended	Mid-Block	no	15.1
933	Rear Ended	Mid-Block	no	15.28
934	Rear Ended	Mid-Block	no	15.45
935	Angles	At Intersection	no	16.05
936	Rear Ended	Mid-Block	no	16.67
937	Sideswipe	Mid-Block	no	16.8
938	Parked Car	Mid-Block	no	17.0
939	Left Turn	At Intersection	no	18.38
940	Pedestrian	Mid-Block	no	18.5
941	Rear Ended	Mid-Block	no	18.53
942	Left Turn	At Intersection	no	18.85
943	Rear Ended	Mid-Block	no	19.42
944	Rear Ended	Mid-Block	no	20.08
945	Left Turn	At Intersection	no	20.63
946	Parked Car	Mid-Block	no	21.08
947	Angles	At Intersection	yes	21.37
948	Parked Car	Mid-Block	no	23.0
949	Parked Car	Mid-Block	no	3.92
950	Rear Ended	Mid-Block	yes	6.83
951	Angles	At Intersection	no	7.67
952	Angles	At Intersection	no	7.72
953	Angles	At Intersection	no	7.97
954	Parked Car	Mid-Block	no	11.67
955	Rear Ended	Mid-Block	yes	11.88
956	Angles	Mid-Block	yes	11.9
957	Sideswipe	Mid-Block	no	12.88
958	Parked Car	Mid-Block	no	13.2
959	Rear Ended	Mid-Block	yes	13.3
960	Sideswipe	Mid-Block	no	13.78
961	Angles	At Intersection	no	14.1
962	Parked Car	Mid-Block	no	14.5
963	Left Turn	At Intersection	no	15.62
964	Parked Car	Mid-Block	no	15.75
965	Sideswipe	At Intersection	no	15.78
966	Parked Car	Mid-Block	no	16.5
967	Left Turn	At Intersection	no	16.9
968	Sideswipe	Mid-Block	no	17.45
969	Angles	At Intersection	no	17.6
970	Rear Ended	Mid-Block	no	17.62
971	Left Turn	At Intersection	no	17.63
972	Angles	At Intersection	no	17.75
973	Pedestrian	At Intersection	no	18.0
974	Angles	At Intersection	no	18.17
975	Parked Car	Mid-Block	no	18.47
976	Rear Ended	Mid-Block	no	18.55
977	Left Turn	At Intersection	no	18.67
978	Rear Ended	Mid-Block	no	19.58
979	Pedestrian	At Intersection	no	19.83
980	Rear Ended	Mid-Block	no	20.88
981	Rear Ended	Mid-Block	yes	21.0
982	Rear Ended	Mid-Block	no	21.33
983	Angles	Driveway Junction	no	7.35
984	Left Turn	At Intersection	no	8.0
985	Rear Ended	Mid-Block	yes	8.0
986	Sideswipe	Mid-Block	no	8.58
987	Parked Car	Mid-Block	no	12.07
988	Parked Car	Mid-Block	yes	12.42
989	Parked Car	Mid-Block	no	12.67
990	Parked Car	Driveway Junction	no	12.87
991	Parked Car	Mid-Block	no	13.0
992	Sideswipe	Driveway Junction	no	13.55
993	Parked Car	Mid-Block	no	13.78
994	Rear Ended	Mid-Block	no	14.13
995	Left Turn	At Intersection	no	14.17
996	Head On	Driveway Junction	no	14.43
997	Angles	At Intersection	no	14.83
998	Angles	At Intersection	no	14.83
999	Angles	At Intersection	no	14.87
1000	Rear Ended	Mid-Block	no	14.92
1001	Cycles	Mid-Block	no	15.67
1002	Angles	Mid-Block	no	16.07
1003	Angles	At Intersection	no	16.3
1004	Head On	Mid-Block	no	16.33
1005	Angles	At Intersection	no	16.63
1006	Rear Ended	Mid-Block	yes	17.25
1007	Rear Ended	Mid-Block	no	18.38
1008	Rear Ended	Mid-Block	yes	19.42
1009	Sideswipe	Mid-Block	no	21.33
1010	Sideswipe	At Intersection	no	22.12
1011	Angles	At Intersection	yes	22.42
1012	Rear Ended	Mid-Block	no	22.57
1013	Parked Car	Mid-Block	no	23.15
1014	Angles	At Intersection	no	23.88
1015	Parked Car	Mid-Block	no	0.08
1016	Sideswipe	Mid-Block	no	0.15
1017	Parked Car	Mid-Block	no	0.57
1018	Parked Car	Mid-Block	no	1.5
1019	Angles	At Intersection	no	2.05
1020	Parked Car	Driveway Junction	no	3.02
1021	Parked Car	Mid-Block	no	8.67
1022	Rear Ended	Mid-Block	no	9.48
1023	Parked Car	Mid-Block	no	11.67
1024	Rear Ended	Mid-Block	yes	12.0
1025	Left Turn	At Intersection	no	12.5
1026	Angles	At Intersection	no	12.8
1027	Angles	At Intersection	no	12.93
1028	Rear Ended	Mid-Block	no	13.18
1029	Left Turn	At Intersection	no	13.3
1030	Rear Ended	Mid-Block	no	13.33
1031	Rear Ended	Mid-Block	yes	13.33
1032	Angles	At Intersection	no	13.6
1033	Sideswipe	Mid-Block	no	14.1
1034	Angles	At Intersection	no	14.12
1035	Left Turn	At Intersection	no	14.38
1036	Parked Car	Driveway Junction	yes	14.5
1037	Sideswipe	At Intersection	no	14.78
1038	Parked Car	Mid-Block	no	15.05
1039	Angles	At Intersection	no	15.1
1040	Left Turn	At Intersection	no	15.67
1041	Angles	At Intersection	yes	15.75
1042	Cycles	At Intersection	no	15.78
1043	Left Turn	At Intersection	no	16.03
1044	Left Turn	At Intersection	no	16.93
1045	Angles	At Intersection	no	17.33
1046	Angles	At Intersection	yes	17.67
1047	Left Turn	At Intersection	no	17.68
1048	Rear Ended	Mid-Block	no	17.92
1049	Rear Ended	Mid-Block	yes	18.3
1050	Sideswipe	Mid-Block	no	18.37
1051	Angles	At Intersection	no	19.0
1052	Parked Car	Mid-Block	no	19.5
1053	Sideswipe	Mid-Block	no	20.5
1054	Angles	At Intersection	no	20.52
1055	Sideswipe	Mid-Block	no	21.1
1056	Parked Car	Mid-Block	no	21.33
1057	Parked Car	Mid-Block	no	22.92
1058	Rear Ended	Mid-Block	no	23.32
1059	Parked Car	Mid-Block	no	1.0
1060	Parked Car	Mid-Block	yes	2.33
1061	Angles	At Intersection	no	3.5
1062	Angles	At Intersection	no	4.02
1063	Parked Car	Mid-Block	no	4.25
1064	Parked Car	Mid-Block	no	11.63
1065	Parked Car	Mid-Block	no	12.08
1066	Angles	At Intersection	no	12.32
1067	Cycles	Mid-Block	no	12.73
1068	Cycles	Driveway Junction	no	14.83
1069	Rear Ended	Mid-Block	yes	14.93
1070	Angles	At Intersection	no	15.3
1071	Parked Car	Mid-Block	no	15.5
1072	Parked Car	Mid-Block	no	16.23
1073	Sideswipe	Mid-Block	no	17.0
1074	Angles	At Intersection	no	17.12
1075	Parked Car	Mid-Block	no	19.0
1076	Parked Car	Mid-Block	no	19.33
1077	Parked Car	Mid-Block	no	22.5
1078	Parked Car	Mid-Block	no	6.0
1079	Rear Ended	Mid-Block	no	7.75
1080	Angles	At Intersection	no	7.83
1081	Angles	At Intersection	no	8.12
1082	Rear Ended	At Intersection	yes	8.17
1083	Rear Ended	Mid-Block	yes	9.72
1084	Angles	At Intersection	no	10.22
1085	Pedestrian	Mid-Block	no	11.13
1086	Rear Ended	Mid-Block	no	12.5
1087	Left Turn	At Intersection	no	12.57
1088	Parked Car	Mid-Block	yes	13.3
1089	Parked Car	Mid-Block	no	13.42
1090	Angles	At Intersection	no	13.75
1091	Sideswipe	Mid-Block	no	14.25
1092	Sideswipe	Mid-Block	no	14.5
1093	Parked Car	Mid-Block	no	14.7
1094	Rear Ended	Mid-Block	yes	15.0
1095	Sideswipe	Mid-Block	no	15.33
1096	Angles	At Intersection	no	15.93
1097	Rear Ended	Mid-Block	no	16.27
1098	Left Turn	At Intersection	no	17.08
1099	Sideswipe	Mid-Block	yes	17.65
1100	Sideswipe	At Intersection	no	18.0
1101	Parked Car	Mid-Block	no	19.03
1102	Parked Car	Mid-Block	no	22.0
1103	Parked Car	Mid-Block	yes	23.2
1104	Sideswipe	Mid-Block	no	0.78
1105	Rear Ended	Mid-Block	no	7.67
1106	Rear Ended	Mid-Block	yes	8.6
1107	Parked Car	Mid-Block	yes	8.88
1108	Rear Ended	Mid-Block	no	10.33
1109	Sideswipe	Mid-Block	no	11.08
1110	Angles	Mid-Block	no	12.65
1111	Rear Ended	Mid-Block	yes	13.37
1112	Parked Car	Mid-Block	no	13.5
1113	Parked Car	Driveway Junction	no	15.1
1114	Rear Ended	Mid-Block	no	15.47
1115	Rear Ended	At Intersection	no	17.03
1116	Rear Ended	Mid-Block	yes	17.33
1117	Angles	At Intersection	no	17.8
1118	Sideswipe	Mid-Block	no	3.0
1119	Angles	At Intersection	no	7.0
1120	Left Turn	At Intersection	no	8.52
1121	Rear Ended	Mid-Block	yes	9.03
1122	Rear Ended	Mid-Block	no	10.17
1123	Parked Car	Mid-Block	yes	10.42
1124	Angles	At Intersection	no	10.43
1125	Rear Ended	Mid-Block	no	10.67
1126	Angles	At Intersection	no	11.0
1127	Rear Ended	Driveway Junction	no	11.13
1128	Angles	At Intersection	no	11.17
1129	Parked Car	Mid-Block	no	11.25
1130	Angles	At Intersection	no	11.3
1131	Parked Car	Mid-Block	no	12.0
1132	Angles	At Intersection	no	12.22
1133	Rear Ended	Mid-Block	yes	12.48
1134	Rear Ended	Mid-Block	no	13.07
1135	Angles	At Intersection	no	13.38
1136	Pedestrian	At Intersection	no	13.58
1137	Sideswipe	Mid-Block	no	15.03
1138	Parked Car	Mid-Block	no	15.93
1139	Left Turn	At Intersection	no	15.98
1140	Rear Ended	Mid-Block	yes	16.32
1141	Rear Ended	Mid-Block	yes	16.33
1142	Rear Ended	Mid-Block	no	16.4
1143	Parked Car	Mid-Block	no	16.5
1144	Rear Ended	Mid-Block	yes	17.3
1145	Rear Ended	Mid-Block	no	17.65
1146	Angles	At Intersection	no	17.8
1147	Left Turn	At Intersection	no	17.82
1148	Angles	At Intersection	no	17.82
1149	Left Turn	At Intersection	no	17.87
1150	Rear Ended	Driveway Junction	no	18.1
1151	Angles	Mid-Block	no	19.03
1152	Sideswipe	Mid-Block	no	19.32
1153	Sideswipe	Mid-Block	no	22.5
1154	Sideswipe	Mid-Block	no	23.87
1155	Angles	At Intersection	no	0.17
1156	Angles	Mid-Block	no	6.33
1157	Angles	At Intersection	no	6.53
1158	Sideswipe	Mid-Block	no	7.43
1159	Sideswipe	Mid-Block	no	7.52
1160	Angles	At Intersection	no	13.75
1161	Sideswipe	Mid-Block	no	13.8
1162	Rear Ended	At Intersection	no	14.05
1163	Cycles	Mid-Block	yes	14.43
1164	Rear Ended	At Intersection	no	14.47
1165	Left Turn	At Intersection	no	14.5
1166	Sideswipe	Mid-Block	no	14.67
1167	Rear Ended	Mid-Block	yes	14.83
1168	Rear Ended	Mid-Block	no	15.28
1169	Angles	At Intersection	no	15.55
1170	Angles	At Intersection	no	15.68
1171	Angles	Driveway Junction	no	15.75
1172	Cycles	At Intersection	no	16.52
1173	Angles	At Intersection	no	17.32
1174	Angles	At Intersection	no	17.63
1175	Rear Ended	Mid-Block	no	17.83
1176	Left Turn	At Intersection	no	18.43
1177	Pedestrian	At Intersection	yes	20.55
1178	Angles	At Intersection	no	21.92
1179	Angles	At Intersection	no	23.73
1180	Rear Ended	Mid-Block	no	23.82
1181	Sideswipe	At Intersection	no	0.37
1182	Rear Ended	Mid-Block	no	5.68
1183	Angles	At Intersection	no	7.12
1184	Angles	At Intersection	no	9.22
1185	Parked Car	Mid-Block	no	9.25
1186	Parked Car	Driveway Junction	no	9.5
1187	Parked Car	Mid-Block	yes	10.15
1188	Rear Ended	Mid-Block	yes	11.13
1189	Sideswipe	Mid-Block	no	11.15
1190	Sideswipe	Mid-Block	no	11.57
1191	Rear Ended	Mid-Block	no	12.95
1192	Angles	At Intersection	no	13.08
1193	Parked Car	Mid-Block	no	13.5
1194	Cycles	Mid-Block	no	13.77
1195	Angles	At Intersection	no	14.58
1196	Rear Ended	Mid-Block	no	14.63
1197	Rear Ended	Mid-Block	yes	14.82
1198	Rear Ended	Mid-Block	no	16.75
1199	Rear Ended	Mid-Block	yes	17.45
1200	Parked Car	Driveway Junction	no	17.93
1201	Rear Ended	Mid-Block	yes	18.8
1202	Parked Car	Driveway Junction	no	20.0
1203	Left Turn	At Intersection	no	20.25
1204	Parked Car	Driveway Junction	yes	22.12
1205	Parked Car	Mid-Block	no	22.22
1206	Parked Car	Mid-Block	no	23.0
1207	Pedestrian	Mid-Block	yes	23.1
1208	Rear Ended	Mid-Block	no	23.87
1209	Angles	At Intersection	no	2.52
1210	Angles	At Intersection	no	3.62
1211	Angles	At Intersection	no	5.68
1212	Parked Car	Mid-Block	no	8.0
1213	Pedestrian	Mid-Block	no	11.2
1214	Parked Car	Driveway Junction	no	11.68
1215	Rear Ended	Mid-Block	no	12.1
1216	Rear Ended	Mid-Block	no	12.58
1217	Rear Ended	Mid-Block	yes	12.7
1218	Rear Ended	Mid-Block	yes	12.75
1219	Sideswipe	Mid-Block	no	12.98
1220	Parked Car	Mid-Block	no	13.0
1221	Sideswipe	Mid-Block	no	13.08
1222	Head On	Mid-Block	no	13.17
1223	Rear Ended	Mid-Block	no	13.67
1224	Angles	At Intersection	no	13.68
1225	Angles	At Intersection	no	14.25
1226	Sideswipe	At Intersection	no	14.58
1227	Rear Ended	Mid-Block	yes	14.67
1228	Rear Ended	Mid-Block	no	15.73
1229	Angles	At Intersection	no	16.47
1230	Rear Ended	Mid-Block	no	16.62
1231	Rear Ended	Mid-Block	yes	16.82
1232	Left Turn	At Intersection	no	17.43
1233	Parked Car	Mid-Block	no	18.1
1234	Rear Ended	Mid-Block	no	19.45
1235	Left Turn	At Intersection	no	20.32
1236	Left Turn	At Intersection	no	20.45
1237	Angles	Mid-Block	no	21.0
1238	Parked Car	Mid-Block	no	21.88
1239	Parked Car	Mid-Block	no	22.15
1240	Parked Car	Mid-Block	no	23.17
1241	Angles	At Intersection	no	23.35
1242	Parked Car	Mid-Block	no	23.92
1243	Angles	At Intersection	no	0.22
1244	Sideswipe	Mid-Block	no	0.3
1245	Angles	At Intersection	no	1.87
1246	Parked Car	Mid-Block	yes	2.0
1247	Angles	At Intersection	yes	2.5
1248	Rear Ended	Mid-Block	no	2.63
1249	Parked Car	Mid-Block	no	3.4
1250	Parked Car	Driveway Junction	no	3.78
1251	Left Turn	At Intersection	no	7.17
1252	Parked Car	Mid-Block	yes	8.23
1253	Angles	At Intersection	no	9.45
1254	Parked Car	Mid-Block	no	11.0
1255	Cycles	At Intersection	no	11.28
1256	Sideswipe	At Intersection	no	11.78
1257	Parked Car	Mid-Block	no	12.0
1258	Rear Ended	Mid-Block	no	12.32
1259	Left Turn	At Intersection	no	12.73
1260	Angles	At Intersection	no	12.95
1261	Angles	At Intersection	no	13.0
1262	Sideswipe	At Intersection	no	13.58
1263	Angles	At Intersection	no	14.4
1264	Angles	At Intersection	no	14.55
1265	Parked Car	Mid-Block	no	15.5
1266	Angles	At Intersection	no	15.72
1267	Pedestrian	At Intersection	yes	16.42
1268	Angles	At Intersection	no	16.63
1269	Sideswipe	Mid-Block	no	16.63
1270	Angles	At Intersection	no	16.88
1271	Parked Car	Mid-Block	no	16.92
1272	Left Turn	At Intersection	no	17.2
1273	Rear Ended	Driveway Junction	no	18.0
1274	Parked Car	Mid-Block	no	18.75
