	type	location	distracted	time
46221	Sideswipe	Mid-Block	no	2.17
46222	Cycles	Mid-Block	no	11.03
46223	Left Turn	At Intersection	no	13.73
46224	Rear Ended	Mid-Block	no	16.0
46225	Parked Car	Mid-Block	no	16.25
46226	Sideswipe	Mid-Block	no	17.98
46227	Cycles	Mid-Block	no	19.07
46228	Rear Ended	Mid-Block	no	20.9
46229	Pedestrian	Mid-Block	no	21.03
46230	Rear Ended	Mid-Block	no	22.23
46231	Sideswipe	Mid-Block	no	23.5
46232	Parked Car	Mid-Block	no	23.93
46233	Parked Car	Mid-Block	no	0.83
46234	Left Turn	At Intersection	no	2.38
46235	Cycles	At Intersection	no	10.77
46236	Parked Car	Mid-Block	no	11.75
46237	Left Turn	At Intersection	no	12.0
46238	Parked Car	Mid-Block	no	12.17
46239	Sideswipe	Mid-Block	no	12.75
46240	Sideswipe	Mid-Block	no	13.13
46241	Parked Car	Mid-Block	no	15.55
46242	Parked Car	Mid-Block	no	21.12
46243	Pedestrian	At Intersection	no	22.45
46244	Angles	At Intersection	no	23.35
46245	Parked Car	Mid-Block	no	0.5
46246	Parked Car	Mid-Block	no	2.0
46247	Sideswipe	Mid-Block	no	5.78
46248	Parked Car	Mid-Block	no	7.5
46249	Angles	At Intersection	no	7.95
46250	Angles	At Intersection	no	10.08
46251	Sideswipe	Mid-Block	no	11.03
46252	Left Turn	At Intersection	no	11.5
46253	Rear Ended	Mid-Block	no	11.88
46254	Angles	At Intersection	no	13.62
46255	Rear Ended	Mid-Block	no	13.87
46256	Left Turn	Driveway Junction	no	15.5
46257	Sideswipe	Mid-Block	yes	15.77
46258	Angles	At Intersection	no	17.92
46259	Left Turn	At Intersection	no	18.22
46260	Angles	Driveway Junction	no	18.8
46261	Parked Car	Mid-Block	no	19.73
46262	Left Turn	At Intersection	no	20.6
46263	Sideswipe	Mid-Block	no	20.82
46264	Sideswipe	Mid-Block	no	21.98
46265	Parked Car	Mid-Block	no	0.25
46266	Parked Car	Mid-Block	no	0.78
46267	Rear Ended	Mid-Block	yes	7.73
46268	Rear Ended	Mid-Block	no	8.98
46269	Cycles	At Intersection	no	9.67
46270	Parked Car	Mid-Block	no	11.0
46271	Rear Ended	Mid-Block	no	12.17
46272	Left Turn	Mid-Block	no	14.32
46273	Sideswipe	Mid-Block	no	16.67
46274	Sideswipe	Mid-Block	no	17.05
46275	Right Turn	At Intersection	no	17.28
46276	Parked Car	Mid-Block	no	18.67
46277	Rear Ended	Mid-Block	no	19.57
46278	Rear Ended	Mid-Block	no	19.83
46279	Right Turn	At Intersection	no	22.7
46280	Rear Ended	Mid-Block	no	0.35
46281	Sideswipe	At Intersection	no	12.6
46282	Left Turn	At Intersection	no	12.93
46283	Parked Car	Mid-Block	no	13.27
46284	Rear Ended	Mid-Block	no	13.72
46285	Rear Ended	Mid-Block	no	14.18
46286	Left Turn	At Intersection	no	15.68
46287	Parked Car	Mid-Block	no	16.5
46288	Angles	At Intersection	no	16.88
46289	Rear Ended	Mid-Block	no	16.92
46290	Left Turn	At Intersection	no	17.73
46291	Sideswipe	Mid-Block	no	19.22
46292	Angles	At Intersection	no	19.25
46293	Sideswipe	Mid-Block	no	19.27
46294	Parked Car	Mid-Block	no	19.28
46295	Angles	At Intersection	no	19.4
46296	Angles	At Intersection	no	19.88
46297	Cycles	At Intersection	no	21.0
46298	Cycles	At Intersection	no	21.28
46299	Parked Car	Mid-Block	no	21.38
46300	Angles	At Intersection	no	22.1
46301	Angles	At Intersection	no	23.12
46302	Left Turn	At Intersection	no	23.55
46303	Parked Car	Mid-Block	no	2.42
46304	Left Turn	At Intersection	no	7.47
46305	Cycles	Mid-Block	no	10.33
46306	Rear Ended	Mid-Block	yes	10.75
46307	Angles	At Intersection	no	12.75
46308	Cycles	At Intersection	no	13.25
46309	Rear Ended	Mid-Block	yes	13.5
46310	Angles	At Intersection	no	14.17
46311	Left Turn	At Intersection	no	14.57
46312	Rear Ended	Mid-Block	no	16.7
46313	Angles	Driveway Junction	no	17.05
46314	Angles	At Intersection	no	18.55
46315	Rear Ended	Mid-Block	no	19.0
46316	Head On	At Intersection	no	20.9
46317	Rear Ended	Mid-Block	no	8.0
46318	Rear Ended	Mid-Block	no	8.4
46319	Angles	At Intersection	yes	8.92
46320	Angles	Driveway Junction	no	9.42
